countries,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual,ISO_code,year,region,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Nicaragua,Latin America and Caribbean,48,5.992,5.877,6.107,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,2.82428,NIC,2016,Latin America & the Caribbean,3.767066422,8.295494493,8.333333333,7.912592593,4,7.047619048,6.875,7.990441176,4.450667177,9.100671988,7.81743925,7.002229453,6.432494726,103,7.27,54,6.851247363,75,2
Niger,Sub-Saharan Africa,142,3.856,3.781,3.931,0.1327,0.6053,0.26162,0.38041,0.17176,0.2097,2.09469,NER,2016,Sub-Saharan Africa,4.150643838,6.914378347,6.666666667,7.804074074,5.5,5.345238095,4.166666667,6.844368088,3.659423094,7.016807914,5.485204757,7.058349425,5.714520097,129,6.01,131,5.862260048,137,4
Nigeria,Sub-Saharan Africa,103,4.875,4.75,5,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,NGA,2016,Sub-Saharan Africa,4.327010052,5.166301919,6.666666667,7.327777778,9,8.175114352,3.333333333,7.086182942,3.603779382,7.46087942,5.90423347,7.56483519,5.823617206,128,6.32,118,6.071808603,132,4
Norway,Western Europe,4,7.498,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,NOR,2016,Western Europe,8.556487979,9.93142597,10,7.407407407,10,9.797619048,10,4.49513252,8.67833928,9.499277343,7.587806425,7.733422163,9.342481133,2,7.6,25,8.471240566,10,1
Pakistan,Southern Asia,92,5.132,5.038,5.226,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,PAK,2016,South Asia,3.50506934,6.242516773,5,4.039259259,9,7.087699939,3.75,7.836437068,3.463300254,6.593266,5.826842798,6.290954337,5.324592448,143,6,132,5.662296224,140,4
Panama,Latin America and Caribbean,25,6.701,6.601,6.801,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,PAN,2016,Latin America & the Caribbean,4.385538748,8.710721255,10,8.361111111,8.5,8.300639622,9.25,7.363229284,5.241776593,9.696805181,8.696830031,6.902737679,7.715240074,53,7.58,27,7.647620037,46,2
Paraguay,Latin America and Caribbean,70,5.538,5.453,5.623,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,2.16091,PRY,2016,Latin America & the Caribbean,4.108065759,7.834983075,8.333333333,8.174074074,7.5,8.380952381,7.5,8.184618864,3.840887889,9.28268472,7.28151234,6.144909202,6.974598187,80,6.95,76,6.962299094,72,2
Peru,Latin America and Caribbean,64,5.743,5.647,5.839,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,2.73117,PER,2016,Latin America & the Caribbean,4.715843781,8.245018486,10,8.225555556,9,8.205155728,9.375,6.97963564,4.765645671,9.704537846,8.226085566,7.488683492,7.720786695,51,7.43,44,7.575393347,47,2
Philippines,Southeastern Asia,82,5.279,5.16,5.398,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,PHL,2016,South Asia,3.436584998,6.842192772,8.333333333,8.490740741,8,8.204248444,6.25,8.498841962,4.27826495,9.422637738,7.127270701,7.369833084,6.497526694,100,7.34,49,6.918763347,73,2
Poland,Central and Eastern Europe,57,5.835,5.749,5.921,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,2.20035,POL,2016,Eastern Europe,6.382863045,9.743629357,10,6.345925926,9,8.619047619,9.25,5.624382422,5.559009928,9.647930249,7.913406255,7.586252704,8.353120455,36,7.27,54,7.811560227,39,1
