countries,Region,Happiness.Rank,Happiness.Score,Lower.Confidence.Interval,Upper.Confidence.Interval,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Trust..Government.Corruption.,Generosity,Dystopia.Residual,ISO_code,year,region,pf_rol,pf_ss,pf_movement,pf_religion,pf_association,pf_expression,pf_identity,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,pf_score,pf_rank,ef_score,ef_rank,hf_score,hf_rank,hf_quartile
Belarus,Central and Eastern Europe,61,5.802,5.723,5.881,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,2.38582,BLR,2016,Eastern Europe,5.128924941,9.188711522,3.333333333,5.153333333,2.5,5.80952381,8,6.761446145,5.525957318,5.332776772,7.175739042,6.37724484,6.059028163,120,6.23,123,6.144514082,128,4
Belgium,Western Europe,18,6.929,6.861,6.997,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,2.61355,BEL,2016,Western Europe,7.751100945,9.345020809,10,8.131481481,10,9.75,9.25,3.875398037,7.066600168,9.377365846,8.201221562,8.102653904,8.987178587,19,7.32,52,8.153589293,27,1
Belize,Latin America and Caribbean,52,5.956,5.71,6.202,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,3.08039,BLZ,2016,Latin America & the Caribbean,4.268872009,6.666666667,10,9.055,9.5,8.520833333,10,7.015975829,5.137397422,7.204524495,7.050434549,7.883867878,7.430863836,66,6.86,83,7.145431918,64,2
Benin,Sub-Saharan Africa,153,3.484,3.404,3.564,0.39499,0.10419,0.21028,0.39747,0.06681,0.2018,2.10812,BEN,2016,Sub-Saharan Africa,4.129479992,8.031187091,6.666666667,9.413333333,9.5,8.988095238,10,6.182574541,3.822761377,7.013885064,6.02654585,6.85592866,7.496976295,61,5.98,134,6.738488147,90,3
Bhutan,Southern Asia,84,5.196,5.138,5.254,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,BTN,2016,South Asia,5.925574544,8.849427826,5,7.257777778,6,7.25,3.75,7.461619694,6.871067334,6.72091122,6.332537979,7.701471606,6.600972815,96,7.02,73,6.810486407,83,3
Bolivia,Latin America and Caribbean,59,5.822,5.74,5.904,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,2.91635,BOL,2016,Latin America & the Caribbean,3.051401851,8.437752282,10,8.428148148,6.5,8.416666667,10,6.162804536,3.632945402,9.386300221,6.987042221,4.975270619,7.206770015,73,6.23,123,6.718385007,92,3
Bosnia and Herzegovina,Central and Eastern Europe,87,5.163,5.063,5.263,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,BIH,2016,Eastern Europe,5.470080395,8.941062682,6.666666667,8.515185185,9.5,8.654761905,9.25,5.358630085,4.134907779,8.315905677,7.784776849,7.413612448,7.861447145,47,6.6,98,7.230723572,59,2
Botswana,Sub-Saharan Africa,137,3.974,3.875,4.073,1.09426,0.89186,0.34752,0.44089,0.10769,0.12425,0.96741,BWA,2016,Sub-Saharan Africa,5.641683932,7.161570546,8.333333333,9.008333333,7.5,7.8125,4.25,6.702037586,5.950516249,9.056783223,7.679525354,7.769776873,6.876334453,86,7.43,44,7.153167226,64,2
Brazil,Latin America and Caribbean,17,6.952,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,3.50733,BRA,2016,Latin America & the Caribbean,4.65167253,6.111004095,10,7.411851852,6.5,8.341230646,7.5,5.125270067,4.575175835,7.972060321,7.00029082,4.093309339,6.665977406,94,5.75,144,6.207988703,123,4
Bulgaria,Central and Eastern Europe,129,4.217,4.104,4.33,1.11306,0.92542,0.67806,0.21219,0.00615,0.12793,1.15377,BGR,2016,Eastern Europe,4.891372196,9.846657127,10,7.138888889,9.5,8.821428571,9.25,7.023392636,4.831211352,9.439348667,8.122354972,7.612747996,8.155539077,41,7.41,46,7.782769538,41,1
Burkina Faso,Sub-Saharan Africa,145,3.739,3.647,3.831,0.31995,0.63054,0.21297,0.3337,0.12533,0.24353,1.87319,BFA,2016,Sub-Saharan Africa,4.860574888,8.324656807,8.333333333,8.018888889,7.5,7.738095238,10,5.405461604,3.68765653,7.121433785,6.604145213,7.427553566,7.45533967,63,6.05,129,6.752669835,88,3
Burundi,Sub-Saharan Africa,157,2.905,2.732,3.078,0.06831,0.23442,0.15747,0.0432,0.09419,0.2029,2.10404,BDI,2016,Sub-Saharan Africa,2.961469859,6.826708059,1.666666667,7.468518519,1.5,3.202380952,5.833333333,6.115441176,3.495487069,7.585470702,6.110770149,6.271879255,4.414134427,156,5.92,138,5.167067213,154,4
Cambodia,Southeastern Asia,140,3.907,3.798,4.016,0.55604,0.5375,0.42494,0.58852,0.08092,0.40339,1.31573,KHM,2016,South Asia,2.566741147,9.587538771,10,8.272592593,7.5,7.892857143,8.333333333,7.897866967,4.277906502,9.308534101,7.324052439,7.061529101,7.238448286,72,7.17,64,7.204224143,61,2
Cameroon,Sub-Saharan Africa,114,4.513,4.417,4.609,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,CMR,2016,Sub-Saharan Africa,3.02691825,6.806230146,3.333333333,7.892962963,5.5,6.998575821,5,7.11162798,3.19956054,7.222024204,5.054770561,6.53004744,5.330774311,142,5.82,141,5.575387155,144,4
Canada,North America,6,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,CAN,2016,North America,7.738323946,9.762339236,10,9.003703704,10,9.511904762,9.25,6.024061309,7.875940077,9.579711993,7.929248443,8.514790596,9.151726642,12,7.98,10,8.565863321,5,1
Chad,Sub-Saharan Africa,144,3.763,3.672,3.854,0.42214,0.63178,0.03824,0.12807,0.04952,0.18667,2.30637,TCD,2016,Sub-Saharan Africa,2.900352865,6.264732049,8.333333333,8.158888889,6.5,7.523809524,1.666666667,7.729564033,2.663232022,6.726054551,5.121255567,4.953382356,5.50954107,136,5.44,150,5.474770535,147,4
Chile,Latin America and Caribbean,24,6.705,6.615,6.795,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,CHL,2016,Latin America & the Caribbean,6.516104054,8.979762178,10,9.265925926,10,9.154761905,5,7.880263385,6.42013942,9.331413421,8.268563035,7.098290007,8.216035341,39,7.8,15,8.00801767,32,1
China,Eastern Asia,83,5.245,5.199,5.291,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,CHN,2016,East Asia,4.704818051,7.528647392,3.333333333,3.666296296,1.5,5.174910149,9.25,5.039010659,5.650259343,8.542426794,6.708857694,6.358063353,5.350820339,141,6.46,108,5.905410169,135,4
Colombia,Latin America and Caribbean,31,6.481,6.384,6.578,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,COL,2016,Latin America & the Caribbean,4.422972598,5.452498485,8.333333333,8.740740741,10,8.452380952,10,6.859318215,3.819135946,7.973965074,6.810785115,7.044458518,7.021513273,79,6.5,105,6.760756637,87,3
Costa Rica,Latin America and Caribbean,14,7.087,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,3.35168,CRI,2016,Latin America & the Caribbean,6.626877443,8.412669119,10,8.085185185,9.5,9.595238095,6.875,7.609154834,5.891154675,9.779738252,8.003561874,6.449130777,8.165428969,40,7.55,33,7.857714484,37,1
Croatia,Central and Eastern Europe,74,5.488,5.402,5.574,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,2.52462,HRV,2016,Eastern Europe,5.700537868,9.860715403,10,8.051481481,9,8.607142857,10,4.68388754,5.479351478,9.136323654,8.188139185,7.287616394,8.456175752,35,6.96,75,7.708087876,44,2
Cyprus,Western Europe,69,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,CYP,2016,Eastern Europe,6.327701936,9.685217644,10,7.159259259,8.5,9.452380952,10,7.31398142,5.937152237,9.489785988,8.283055903,7.547740368,8.514393916,34,7.71,18,8.112196958,30,1
Denmark,Western Europe,1,7.526,7.46,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,DNK,2016,Western Europe,8.687100828,9.858379683,10,7.702222222,9.5,9.69047619,10,4.134149451,8.077531163,9.863601232,8.461507677,8.320588298,9.325639969,4,7.77,16,8.547819985,6,1
Ecuador,Latin America and Caribbean,51,5.976,5.88,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,ECU,2016,Latin America & the Caribbean,4.258770863,9.045778617,10,7.803703704,6.5,7.94047619,10,5.666937811,3.809895071,8.254794016,6.499619559,6.046130988,7.550555359,59,6.06,127,6.80527768,83,3
Egypt,Middle East and Northern Africa,120,4.362,4.259,4.465,0.95395,0.49813,0.52116,0.18847,0.10393,0.12706,1.96895,EGY,2016,Middle East & North Africa,3.626147505,5.808027923,1.666666667,3.733333333,3.5,6.46009916,0,6.066836516,3.944015342,8.149666078,5.617447238,4.818902452,3.894553773,158,5.72,147,4.807276886,156,4
El Salvador,Latin America and Caribbean,46,6.068,5.967,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,SLV,2016,Latin America & the Caribbean,4.355099989,6.5,10,9.088888889,8,7.452380952,7.5,8.429051699,3.576272354,9.808378599,7.678362506,6.243651346,6.917901981,83,7.15,67,7.033950991,70,2
Estonia,Central and Eastern Europe,72,5.517,5.437,5.597,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,1.81985,EST,2016,Eastern Europe,7.801085558,9.574248415,10,8.32962963,9.5,9.619047619,9.25,5.883723858,7.441601876,9.326665307,8.434307747,8.201249995,9.013701218,17,7.86,13,8.436850609,14,1
Ethiopia,Sub-Saharan Africa,115,4.508,4.425,4.591,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,ETH,2016,Sub-Saharan Africa,3.302472672,6.698471607,6.666666667,5.552222222,1.5,5.252983157,6.666666667,6.57126919,4.644365028,5.732983571,5.056479414,6.645060594,5.064089941,150,5.73,146,5.397044971,150,4
Finland,Western Europe,5,7.413,7.351,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,FIN,2016,Western Europe,8.639248324,9.810964083,10,7.901481481,10,9.666666667,9.25,4.151079924,8.79818106,9.36055112,8.232926712,7.717924071,9.294367917,5,7.65,22,8.472183958,10,1
France,Western Europe,32,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,FRA,2016,Western Europe,6.771264767,9.69446546,10,7.253703704,10,9.25,10,4.220057943,6.922031615,9.480112303,8.178051059,7.458613785,8.766802927,25,7.25,57,8.008401464,32,1
Gabon,Sub-Saharan Africa,134,4.121,4.03,4.212,1.15851,0.72368,0.3494,0.28098,0.09314,0.06244,1.45332,GAB,2016,Sub-Saharan Africa,4.241028336,8.038732871,0,8.944444444,4,6.178571429,3.333333333,6.244963135,3.902531341,6.589812995,5.691934877,6.785844584,5.315575222,144,5.84,140,5.577787611,144,4
Georgia,Central and Eastern Europe,126,4.252,4.164,4.34,0.83792,0.19249,0.64035,0.32461,0.3188,0.06786,1.87031,GEO,2016,Caucasus & Central Asia,5.385816218,8.670315227,8.333333333,7.160740741,8.5,8.630952381,8,7.53387218,6.314021643,9.222802318,8.563136369,8.487127074,7.576535507,58,8.02,7,7.798267753,40,1
Germany,Western Europe,16,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,DEU,2016,Western Europe,8.303209527,9.815587729,10,7.697777778,10,9.357142857,10,5.480871153,7.438694666,9.479673116,8.048442496,7.986439656,9.235191378,9,7.69,20,8.462595689,13,1
Ghana,Sub-Saharan Africa,124,4.276,4.185,4.367,0.63107,0.49353,0.29681,0.40973,0.0326,0.21203,2.2002,GHA,2016,Sub-Saharan Africa,5.747291576,9.008827092,10,8.081481481,7.5,8.75,7.5,7.019694663,5.356873168,6.972844492,6.49437524,7.150996088,7.872177815,46,6.6,98,7.236088908,57,2
Greece,Western Europe,99,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,GRC,2016,Eastern Europe,5.789790663,8.872414211,10,7.324074074,10,8.738095238,6.75,4.379450297,5.778509815,8.037389926,7.678958625,6.434657332,7.94676815,45,6.46,108,7.203384075,61,2
Guatemala,Latin America and Caribbean,39,6.324,6.213,6.435,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,3.19863,GTM,2016,Latin America & the Caribbean,3.98767717,6.333333333,10,8.47,7.5,7.459933562,6.25,9.52848501,4.382490053,9.557483712,8.19393792,6.55007591,6.548245982,99,7.64,23,7.094122991,66,2
Guinea,Sub-Saharan Africa,151,3.607,3.533,3.681,0.22415,0.3109,0.18829,0.30953,0.1192,0.29914,2.15604,GIN,2016,Sub-Saharan Africa,3.120741098,7.032707727,3.333333333,8.54037037,9,5.788023635,1.666666667,6.54621401,3.227979181,7.944894022,5.07677247,6.875425102,5.371201607,140,5.93,137,5.650600803,141,4
Haiti,Latin America and Caribbean,136,4.028,3.893,4.163,0.34097,0.29561,0.27494,0.12072,0.14476,0.47958,2.37116,HTI,2016,Latin America & the Caribbean,3.582253733,7.75815154,10,8.392222222,10,8.226190476,6.875,8.430694021,2.500470609,7.216129446,7.504084903,6.886282485,7.184442588,74,6.51,104,6.847221294,75,2
Honduras,Latin America and Caribbean,104,4.871,4.75,4.992,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,HND,2016,Latin America & the Caribbean,3.194722841,5.939567336,8.333333333,8.731481481,8.5,7.964285714,7.5,8.532352941,3.435269824,9.2936517,7.217558726,6.824516794,6.386482597,107,7.06,70,6.723241298,92,3
Hong Kong,Eastern Asia,75,5.458,5.362,5.554,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,0.92614,HKG,2016,East Asia,7.13781731,9.3933455,10,8.592222222,8,8.666666667,9.25,8.588454728,7.916473999,9.568964194,9.32396899,9.439827809,8.583679591,32,8.97,1,8.776839796,3,1
Hungary,Central and Eastern Europe,91,5.145,5.056,5.234,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,HUN,2016,Eastern Europe,5.439017665,9.554416221,10,7.284444444,9,8.821428571,10,4.890497079,5.919262708,9.710533115,7.953706122,7.632667959,8.258945773,38,7.22,59,7.739472887,42,2
Iceland,Western Europe,3,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,ISL,2016,Western Europe,7.572814721,9.959940303,10,8.122222222,10,9.630952381,9.25,5.451234737,8.3993485,7.055296849,7.161710811,8.009519936,9.083506216,13,7.22,59,8.151753108,27,1
India,Southern Asia,118,4.404,4.351,4.457,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,IND,2016,South Asia,4.320439849,7.432355452,6.666666667,5.488888889,7,7.921169544,5.5,7.719442848,5.156629041,8.199784181,5.572692843,6.497381642,6.195871335,112,6.63,96,6.412935668,110,3
Indonesia,Southeastern Asia,79,5.314,5.237,5.391,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,IDN,2016,South Asia,4.077098305,8.930331429,6.666666667,3.854074074,7,7.523809524,6.25,7.81093993,4.883138286,9.683353617,6.997110677,6.429415347,6.38131246,108,7.16,65,6.77065623,85,3
Iran,Middle East and Northern Africa,105,4.813,4.703,4.923,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,IRN,2016,Middle East & North Africa,4.375717373,7.102284246,0,4.271851852,4,5.357636552,3,6.875951675,4.577433516,8.431335572,4.592143712,5.670160645,4.532449245,154,6.03,130,5.281224623,153,4
Iraq,Middle East and Northern Africa,112,4.575,4.446,4.704,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,IRQ,2016,Middle East & North Africa,2.464387305,3.96385016,0,5.327777778,4.5,5.261904762,0,5.248190078,2.774515098,7.258295299,5.239557906,6.475279949,3.11602762,160,5.4,152,4.25801381,159,4
Ireland,Western Europe,19,6.907,6.836,6.978,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,2.15988,IRL,2016,Western Europe,7.614721658,9.708610774,10,9.082962963,7.5,9.5,10,6.312110986,7.720957247,9.255335231,8.599206441,8.46591351,8.939129404,21,8.07,5,8.504564702,8,1
Israel,Middle East and Northern Africa,11,7.267,7.199,7.335,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,3.31029,ISR,2016,Middle East & North Africa,6.790677923,9.170163569,1.666666667,5.931481481,10,7.948909543,10,6.252382111,6.158069038,9.399942105,8.211971513,7.411094704,7.544916142,60,7.49,38,7.517458071,49,2
Italy,Western Europe,50,5.977,5.898,6.056,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,2.34918,ITA,2016,Western Europe,6.503838352,9.909671786,10,8.049259259,9.5,9.071428571,9.25,5.44787404,5.709202635,9.438703624,8.250625682,7.485950008,8.690446317,30,7.27,54,7.980223159,34,1
Jamaica,Latin America and Caribbean,73,5.51,5.315,5.705,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,2.35682,JAM,2016,Latin America & the Caribbean,5.403823101,6.5,8.333333333,9.305555556,9.5,9.535714286,6.25,7.430473655,5.07420081,8.592263953,6.859851664,7.958677586,7.268416093,70,7.18,62,7.224208046,60,2
Japan,Eastern Asia,53,5.921,5.85,5.992,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,1.80584,JPN,2016,East Asia,7.643490079,9.678364609,10,8.092592593,7.5,9.19047619,9.25,4.535267724,7.586986576,9.524658793,7.495838941,8.19699977,8.73377055,29,7.47,41,8.101885275,31,1
Jordan,Middle East and Northern Africa,80,5.303,5.187,5.419,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,JOR,2016,Middle East & North Africa,5.798807684,7.984281664,6.666666667,6.333703704,5,6.595238095,3.333333333,7.586859201,4.756454971,9.618102308,7.579245331,7.771994872,6.238666517,111,7.46,42,6.849333258,75,2
Kazakhstan,Central and Eastern Europe,54,5.919,5.837,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,KAZ,2016,Caucasus & Central Asia,4.537932016,9.005172166,5,5.508888889,4,6.140106103,9.25,7.513578869,5.44835482,8.551346498,6.522959426,7.538105028,6.375675545,109,7.11,69,6.742837772,90,3
Kenya,Sub-Saharan Africa,122,4.356,4.259,4.453,0.52267,0.7624,0.30147,0.40576,0.06686,0.41328,1.88326,KEN,2016,Sub-Saharan Africa,3.953814707,7.142406129,6.666666667,7.214814815,7,8.333333333,7.5,7.821194755,4.913284598,9.21911917,6.685544813,7.364484937,6.44553669,102,7.2,61,6.822768345,82,2
Kuwait,Middle East and Northern Africa,41,6.239,6.154,6.324,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,2.28085,KWT,2016,Middle East & North Africa,5.222398432,8.189148143,5,4.645925926,4,7.464285714,1.666666667,6.23731806,4.922444725,8.342265724,6.840410269,7.430758483,5.630574474,133,6.75,90,6.190287237,124,4
Laos,Southeastern Asia,102,4.876,4.742,5.01,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,LAO,2016,South Asia,3.953482175,8.303656159,5,6.731111111,0.5,5.761904762,10,7.840112728,5.93720088,7.335898763,6.830397459,6.590032884,5.863586171,127,6.91,81,6.386793085,113,3
Latvia,Central and Eastern Europe,68,5.56,5.486,5.634,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,2.20859,LVA,2016,Eastern Europe,6.681684163,9.551688703,10,8.546296296,10,9.380952381,10,6.653293105,6.196792987,9.323349908,8.350138737,7.661097526,8.851068084,22,7.64,23,8.245534042,23,1
Lebanon,Middle East and Northern Africa,93,5.129,5.031,5.227,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,LBN,2016,Middle East & North Africa,4.339724004,7.599723612,6.666666667,7.153703704,9,8.297619048,3.333333333,8.668506808,3.954385717,9.694505034,6.815739369,5.825303663,6.429994179,104,6.99,74,6.70999709,95,3
Liberia,Sub-Saharan Africa,150,3.622,3.463,3.781,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,2.23284,LBR,2016,Sub-Saharan Africa,3.786012471,8.202872283,6.666666667,9.207777778,7,7.208333333,4.166666667,7.364113374,4.186922888,9.362209474,6.188037156,5.696074829,6.403401744,105,6.56,100,6.481700872,106,3
Libya,Middle East and Northern Africa,67,5.615,5.406,5.824,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,2.39374,LBY,2016,Middle East & North Africa,2.198017505,5.27726086,5,6.938888889,2.5,4.845238095,0.833333333,4.75,3.206338892,5.659898222,4.76377485,5.301138017,3.880565623,159,4.74,161,4.310282812,158,4
Lithuania,Central and Eastern Europe,60,5.813,5.734,5.892,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,2.60525,LTU,2016,Eastern Europe,6.79590086,9.300417808,10,8.472592593,10,9.5,10,7.233303802,6.499517474,9.340337377,8.191708434,8.035642881,8.821338926,24,7.86,13,8.340669463,20,1
Luxembourg,Western Europe,20,6.871,6.804,6.938,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,2.11055,LUX,2016,Western Europe,7.897751196,9.904131225,10,9.140740741,10,9.678571429,9.25,4.169356156,8.350836767,9.310500088,8.309030967,7.870923216,9.257401822,7,7.6,25,8.428700911,15,1
Macedonia,Central and Eastern Europe,95,5.121,5.017,5.225,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,MKD,2016,Eastern Europe,4.994404463,8.621539803,6.666666667,8.334814815,8,7.845238095,9.25,6.278313623,5.070281017,8.131423715,7.956208009,8.201781057,7.413658024,67,7.13,68,7.271829012,56,2
